chrom	chromStart	chromEnd	name	length	cpgNum	gcNum	perCpg	perGc	obsExp
86	chr1	1279570	1280989	CpG: 152	1419	152	897	21.4	63.2	1.07
87	chr1	1299003	1300902	CpG: 167	1899	167	1267	17.6	66.7	0.8
88	chr1	1312507	1312787	CpG: 25	280	25	169	17.9	60.4	0.98
89	chr1	1323934	1325465	CpG: 154	1531	154	965	20.1	63	1.02
90	chr1	1331867	1332815	CpG: 98	948	98	619	20.7	65.3	0.99
91	chr1	1345022	1345863	CpG: 108	841	108	649	25.7	77.2	0.86
92	chr1	1351423	1351650	CpG: 20	227	20	171	17.6	75.3	0.63
93	chr1	1352817	1353162	CpG: 50	345	50	238	29	69	1.24
94	chr1	1360630	1361312	CpG: 83	682	83	447	24.3	65.5	1.14
95	chr1	1364324	1365447	CpG: 122	1123	122	803	21.7	71.5	0.85
96	chr1	1379418	1379752	CpG: 27	334	27	230	16.2	68.9	0.7
97	chr1	1385948	1386201	CpG: 19	253	19	163	15	64.4	0.73
98	chr1	1396707	1397684	CpG: 119	977	119	647	24.4	66.2	1.11
99	chr1	1403897	1404395	CpG: 40	498	40	340	16.1	68.3	0.69
100	chr1	1407148	1407616	CpG: 42	468	42	327	17.9	69.9	0.76
101	chr1	1410089	1410547	CpG: 34	458	34	314	14.8	68.6	0.63
102	chr1	1434451	1434712	CpG: 19	261	19	172	14.6	65.9	0.67
103	chr1	1436741	1438068	CpG: 151	1327	151	878	22.8	66.2	1.04
104	chr1	1442564	1443062	CpG: 40	498	40	340	16.1	68.3	0.69
105	chr1	1445165	1445755	CpG: 48	590	48	408	16.3	69.2	0.69
106	chr1	1446692	1446937	CpG: 18	245	18	163	14.7	66.5	0.67
107	chr1	1447817	1448892	CpG: 77	1075	77	721	14.3	67.1	0.64
108	chr1	1454371	1454669	CpG: 23	298	23	203	15.4	68.1	0.67
109	chr1	1460467	1461313	CpG: 73	846	73	598	17.3	70.7	0.69
110	chr1	1462970	1463205	CpG: 21	235	21	141	17.9	60	1
111	chr1	1464825	1465083	CpG: 32	258	32	180	24.8	69.8	1.02
112	chr1	1465956	1466532	CpG: 55	576	55	427	19.1	74.1	0.7
113	chr1	1468770	1469102	CpG: 27	332	27	240	16.3	72.3	0.72
114	chr1	1479395	1479657	CpG: 25	262	25	180	19.1	68.7	0.81
115	chr1	1486624	1486849	CpG: 16	225	16	129	14.2	57.3	0.89
116	chr1	1499345	1500610	CpG: 159	1265	159	853	25.1	67.4	1.11
117	chr1	1524194	1525999	CpG: 160	1805	160	1013	17.7	56.1	1.13
118	chr1	1540316	1541878	CpG: 180	1562	180	1065	23	68.2	0.99
119	chr1	1548450	1549222	CpG: 73	772	73	552	18.9	71.5	0.74
120	chr1	1550643	1550918	CpG: 27	275	27	198	19.6	72	0.77
121	chr1	1551912	1552261	CpG: 30	349	30	243	17.2	69.6	0.71
122	chr1	1553537	1553895	CpG: 33	358	33	255	18.4	71.2	0.73
123	chr1	1554284	1559869	CpG: 470	5585	470	3910	16.8	70	0.69
124	chr1	1560895	1561333	CpG: 31	438	31	297	14.2	67.8	0.62
125	chr1	1570240	1570458	CpG: 25	218	25	157	22.9	72	0.98
126	chr1	1579936	1580805	CpG: 83	869	83	534	19.1	61.4	1.01
127	chr1	1590844	1591094	CpG: 21	250	21	164	16.8	65.6	0.78
128	chr1	1592254	1592549	CpG: 21	295	21	187	14.2	63.4	0.72
129	chr1	1597761	1598106	CpG: 27	345	27	213	15.7	61.7	0.82
130	chr1	1613470	1614927	CpG: 149	1457	149	960	20.5	65.9	0.94
131	chr1	1620946	1623086	CpG: 173	2140	173	1455	16.2	68	0.7
132	chr1	1624112	1624550	CpG: 31	438	31	297	14.2	67.8	0.62
133	chr1	1633453	1633671	CpG: 25	218	25	157	22.9	72	0.98
134	chr1	1645255	1646091	CpG: 84	836	84	537	20.1	64.2	0.98
135	chr1	1660616	1660961	CpG: 27	345	27	213	15.7	61.7	0.82
136	chr1	1666745	1668193	CpG: 146	1448	146	947	20.2	65.4	0.94
137	chr1	1675233	1675831	CpG: 48	598	48	401	16.1	67.1	0.72
138	chr1	1681627	1681923	CpG: 22	296	22	204	14.9	68.9	0.64
139	chr1	1699254	1700442	CpG: 126	1188	126	733	21.2	61.7	1.12
140	chr1	1703499	1704001	CpG: 45	502	45	349	17.9	69.5	0.74
141	chr1	1811265	1813132	CpG: 187	1867	187	1014	20	54.3	1.36
142	chr1	1829818	1830461	CpG: 78	643	78	477	24.3	74.2	0.89
143	chr1	1839958	1841251	CpG: 120	1293	120	905	18.6	70	0.77
144	chr1	1849106	1849383	CpG: 22	277	22	182	15.9	65.7	0.74
145	chr1	1864575	1864875	CpG: 25	300	25	214	16.7	71.3	0.66
146	chr1	1865477	1865737	CpG: 23	260	23	178	17.7	68.5	0.76
147	chr1	1876228	1876730	CpG: 44	502	44	331	17.5	65.9	0.81
148	chr1	1886274	1886488	CpG: 18	214	18	149	16.8	69.6	0.69
149	chr1	1887441	1887646	CpG: 17	205	17	145	16.6	70.7	0.74
150	chr1	1900128	1903660	CpG: 270	3532	270	2070	15.3	58.6	0.9
151	chr1	1925026	1925312	CpG: 32	286	32	198	22.4	69.2	0.94
152	chr1	1940271	1941339	CpG: 117	1068	117	687	21.9	64.3	1.06
153	chr1	1946906	1947246	CpG: 35	340	35	229	20.6	67.4	0.91
154	chr1	1949274	1949727	CpG: 44	453	44	306	19.4	67.5	0.87
155	chr1	1950802	1951008	CpG: 15	206	15	127	14.6	61.7	0.77
156	chr1	1951267	1951710	CpG: 38	443	38	294	17.2	66.4	0.78
157	chr1	1964546	1964802	CpG: 22	256	22	180	17.2	70.3	0.7
158	chr1	1965983	1966488	CpG: 58	505	58	376	23	74.5	0.84
159	chr1	1971111	1973072	CpG: 195	1961	195	1296	19.9	66.1	0.92
160	chr1	1980639	1981031	CpG: 29	392	29	240	14.8	61.2	0.8
161	chr1	1995039	1995425	CpG: 36	386	36	242	18.7	62.7	0.95
162	chr1	2015065	2016085	CpG: 82	1020	82	700	16.1	68.6	0.68
163	chr1	2028415	2028723	CpG: 21	308	21	197	13.6	64	0.67
164	chr1	2030857	2031162	CpG: 23	305	23	203	15.1	66.6	0.7
165	chr1	2036289	2036725	CpG: 32	436	32	277	14.7	63.5	0.73
166	chr1	2053642	2053912	CpG: 20	270	20	171	14.8	63.3	0.77
167	chr1	2054488	2054715	CpG: 26	227	26	170	22.9	74.9	0.91
168	chr1	2056227	2056526	CpG: 22	299	22	209	14.7	69.9	0.6
169	chr1	2072174	2072389	CpG: 17	215	17	129	15.8	60	0.9
170	chr1	2106292	2106661	CpG: 34	369	34	238	18.4	64.5	0.89
171	chr1	2110877	2111678	CpG: 55	801	55	487	13.7	60.8	0.75
172	chr1	2115908	2116502	CpG: 46	594	46	352	15.5	59.3	0.89
173	chr1	2126668	2127211	CpG: 70	543	70	403	25.8	74.2	0.94
174	chr1	2134059	2134357	CpG: 24	298	24	211	16.1	70.8	0.64
175	chr1	2148072	2151033	CpG: 240	2961	240	1507	16.2	50.9	1.26
176	chr1	2201880	2203741	CpG: 179	1861	179	1176	19.2	63.2	1.08
177	chr1	2212058	2212429	CpG: 26	371	26	225	14	60.6	0.77
178	chr1	2222170	2222477	CpG: 23	307	23	203	15	66.1	0.69
179	chr1	2225168	2225527	CpG: 30	359	30	251	16.7	69.9	0.69
180	chr1	2226302	2228929	CpG: 206	2627	206	1718	15.7	65.4	0.73
181	chr1	2235574	2236946	CpG: 135	1372	135	960	19.7	70	0.8
182	chr1	2239175	2239494	CpG: 27	319	27	229	16.9	71.8	0.66
183	chr1	2243583	2244618	CpG: 75	1035	75	706	14.5	68.2	0.62
184	chr1	2247957	2248283	CpG: 23	326	23	224	14.1	68.7	0.6
185	chr1	2248924	2249186	CpG: 24	262	24	185	18.3	70.6	0.74
186	chr1	2255867	2256292	CpG: 30	425	30	257	14.1	60.5	0.78
187	chr1	2266218	2266517	CpG: 24	299	24	193	16.1	64.5	0.79
188	chr1	2294019	2294236	CpG: 16	217	16	141	14.7	65	0.7
189	chr1	2306213	2306609	CpG: 37	396	37	281	18.7	71	0.75
190	chr1	2312341	2313624	CpG: 146	1283	146	902	22.8	70.3	0.92
191	chr1	2323410	2324032	CpG: 43	622	43	390	13.8	62.7	0.72
192	chr1	2329736	2330106	CpG: 26	370	26	249	14.1	67.3	0.62
193	chr1	2333245	2334577	CpG: 133	1332	133	891	20	66.9	0.9
194	chr1	2335751	2336016	CpG: 19	265	19	163	14.3	61.5	0.76
195	chr1	2349786	2350027	CpG: 24	241	24	170	19.9	70.5	0.8
196	chr1	2361706	2361933	CpG: 17	227	17	153	15	67.4	0.67
197	chr1	2364678	2365674	CpG: 107	996	107	676	21.5	67.9	0.94
198	chr1	2377529	2377946	CpG: 30	417	30	285	14.4	68.3	0.62
199	chr1	2388685	2388915	CpG: 27	230	27	180	23.5	78.3	0.77
200	chr1	2399617	2399909	CpG: 26	292	26	199	17.8	68.2	0.78
201	chr1	2400985	2401264	CpG: 24	279	24	194	17.2	69.5	0.72
202	chr1	2405058	2405366	CpG: 29	308	29	234	18.8	76	0.69
203	chr1	2423508	2423925	CpG: 36	417	36	309	17.3	74.1	0.63
204	chr1	2424901	2425117	CpG: 18	216	18	158	16.7	73.1	0.63
205	chr1	2425414	2425688	CpG: 24	274	24	199	17.5	72.6	0.67
206	chr1	2429657	2429882	CpG: 17	225	17	148	15.1	65.8	0.71
207	chr1	2429986	2430338	CpG: 30	352	30	214	17	60.8	0.92
208	chr1	2435215	2435508	CpG: 24	293	24	195	16.4	66.6	0.75
209	chr1	2439782	2440066	CpG: 25	284	25	190	17.6	66.9	0.82
210	chr1	2441077	2441411	CpG: 29	334	29	230	17.4	68.9	0.74
211	chr1	2442655	2442867	CpG: 16	212	16	147	15.1	69.3	0.63
212	chr1	2447101	2448119	CpG: 100	1018	100	641	19.6	63	1
213	chr1	2450620	2451870	CpG: 111	1250	111	712	17.8	57	1.1
214	chr1	2456794	2457072	CpG: 23	278	23	194	16.5	69.8	0.69
215	chr1	2461955	2462446	CpG: 49	491	49	328	20	66.8	0.9
216	chr1	2467423	2468223	CpG: 65	800	65	521	16.2	65.1	0.77
217	chr1	2507257	2508752	CpG: 133	1495	133	928	17.8	62.1	0.92
218	chr1	2517099	2517363	CpG: 20	264	20	185	15.2	70.1	0.63
219	chr1	2527531	2527746	CpG: 19	215	19	142	17.7	66	0.81
220	chr1	2549752	2550915	CpG: 96	1163	96	833	16.5	71.6	0.65
221	chr1	2563890	2564724	CpG: 86	834	86	615	20.6	73.7	0.76
222	chr1	2695885	2696821	CpG: 114	936	114	707	24.4	75.5	0.86
223	chr1	2706601	2707093	CpG: 41	492	41	353	16.7	71.7	0.65
224	chr1	2761986	2762525	CpG: 44	539	44	326	16.3	60.5	0.89
225	chr1	2767017	2767221	CpG: 15	204	15	136	14.7	66.7	0.66
226	chr1	2817645	2818154	CpG: 40	509	40	315	15.7	61.9	0.82
227	chr1	2836916	2837148	CpG: 19	232	19	165	16.4	71.1	0.65
228	chr1	2840525	2840733	CpG: 16	208	16	122	15.4	58.7	0.9
229	chr1	2866405	2866668	CpG: 21	263	21	184	16	70	0.65
230	chr1	2874922	2875144	CpG: 18	222	18	126	16.2	56.8	1.01
231	chr1	2876449	2876783	CpG: 23	334	23	200	13.8	59.9	0.77
232	chr1	2908225	2908613	CpG: 34	388	34	242	17.5	62.4	0.98
233	chr1	2919015	2919236	CpG: 22	221	22	163	19.9	73.8	0.74
234	chr1	2928493	2928903	CpG: 28	410	28	267	13.7	65.1	0.64
235	chr1	2969135	2970618	CpG: 129	1483	129	967	17.4	65.2	0.82
236	chr1	2973785	2977822	CpG: 406	4037	406	2576	20.1	63.8	0.99
237	chr1	2979890	2980578	CpG: 82	688	82	509	23.8	74	0.87
238	chr1	2987132	2987333	CpG: 15	201	15	122	14.9	60.7	0.81
239	chr1	2989587	2989838	CpG: 19	251	19	171	15.1	68.1	0.65
240	chr1	3018039	3018417	CpG: 30	378	30	238	15.9	63	0.8
241	chr1	3027927	3028203	CpG: 20	276	20	184	14.5	66.7	0.67
242	chr1	3046401	3046632	CpG: 21	231	21	138	18.2	59.7	1.02
243	chr1	3048910	3049128	CpG: 17	218	17	141	15.6	64.7	0.75
244	chr1	3061759	3062099	CpG: 27	340	27	205	15.9	60.3	0.88
245	chr1	3070794	3071152	CpG: 29	358	29	222	16.2	62	0.85
246	chr1	3092400	3093212	CpG: 55	812	55	506	13.5	62.3	0.7
247	chr1	3094816	3095113	CpG: 27	297	27	187	18.2	63	0.93
248	chr1	3101439	3101769	CpG: 25	330	25	212	15.2	64.2	0.74
249	chr1	3137705	3137941	CpG: 19	236	19	149	16.1	63.1	0.81
250	chr1	3145020	3145221	CpG: 18	201	18	139	17.9	69.2	0.76
251	chr1	3147369	3148160	CpG: 61	791	61	541	15.4	68.4	0.66
252	chr1	3153829	3154503	CpG: 65	674	65	457	19.3	67.8	0.84
253	chr1	3172681	3173076	CpG: 33	395	33	260	16.7	65.8	0.78
254	chr1	3174406	3174684	CpG: 26	278	26	182	18.7	65.5	0.87
255	chr1	3185236	3185912	CpG: 47	676	47	455	13.9	67.3	0.61
256	chr1	3193625	3194313	CpG: 61	688	61	468	17.7	68	0.77
257	chr1	3229775	3230121	CpG: 24	346	24	235	13.9	67.9	0.6
258	chr1	3264889	3265144	CpG: 18	255	18	161	14.1	63.1	0.73
259	chr1	3296929	3297145	CpG: 20	216	20	142	18.5	65.7	0.86
260	chr1	3299962	3300895	CpG: 83	933	83	633	17.8	67.8	0.79
261	chr1	3311129	3312170	CpG: 75	1041	75	691	14.4	66.4	0.66
262	chr1	3317851	3319284	CpG: 107	1433	107	966	14.9	67.4	0.67
263	chr1	3320900	3321139	CpG: 19	239	19	164	15.9	68.6	0.68
264	chr1	3321846	3322087	CpG: 19	241	19	151	15.8	62.7	0.8
265	chr1	3331872	3332666	CpG: 52	794	52	503	13.1	63.4	0.66
266	chr1	3341225	3341492	CpG: 23	267	23	183	17.2	68.5	0.74
267	chr1	3360765	3361543	CpG: 82	778	82	518	21.1	66.6	0.95
268	chr1	3384561	3385051	CpG: 34	490	34	328	13.9	66.9	0.62
269	chr1	3415436	3415657	CpG: 21	221	21	152	19	68.8	0.8
270	chr1	3416221	3416430	CpG: 21	209	21	149	20.1	71.3	0.8
271	chr1	3417215	3417543	CpG: 26	328	26	214	15.9	65.2	0.8
272	chr1	3425848	3426110	CpG: 20	262	20	176	15.3	67.2	0.68
273	chr1	3437309	3437810	CpG: 57	501	57	381	22.8	76	0.79
274	chr1	3449734	3450129	CpG: 28	395	28	271	14.2	68.6	0.6
275	chr1	3489762	3490330	CpG: 46	568	46	372	16.2	65.5	0.91
276	chr1	3501569	3501978	CpG: 29	409	29	264	14.2	64.5	0.68
277	chr1	3517479	3517938	CpG: 59	459	59	347	25.7	75.6	0.91
278	chr1	3518193	3518543	CpG: 25	350	25	242	14.3	69.1	0.61
279	chr1	3530627	3532101	CpG: 120	1474	120	814	16.3	55.2	1.07
280	chr1	3546823	3547061	CpG: 18	238	18	171	15.1	71.8	0.61
281	chr1	3549812	3550869	CpG: 113	1057	113	769	21.4	72.8	0.81
282	chr1	3556305	3559496	CpG: 284	3191	284	1988	17.8	62.3	0.92
283	chr1	3596956	3597413	CpG: 40	457	40	295	17.5	64.6	0.85
284	chr1	3613178	3613381	CpG: 15	203	15	143	14.8	70.4	0.63
285	chr1	3624493	3624961	CpG: 32	468	32	314	13.7	67.1	0.61
286	chr1	3639154	3639534	CpG: 36	380	36	266	18.9	70	0.78
287	chr1	3652823	3653945	CpG: 101	1122	101	757	18	67.5	0.8
288	chr1	3678413	3679544	CpG: 92	1131	92	728	16.3	64.4	0.8
289	chr1	3693532	3693768	CpG: 18	236	18	146	15.3	61.9	0.8
290	chr1	3702258	3703094	CpG: 92	836	92	615	22	73.6	0.81
291	chr1	3721318	3721875	CpG: 38	557	38	339	13.6	60.9	0.74
292	chr1	3763047	3764325	CpG: 110	1278	110	843	17.2	66	0.79
293	chr1	3764937	3765229	CpG: 21	292	21	179	14.4	61.3	0.78
294	chr1	3780724	3781471	CpG: 49	747	49	423	13.1	56.6	0.82
295	chr1	3798350	3799096	CpG: 48	746	48	501	12.9	67.2	0.6
296	chr1	3806216	3807944	CpG: 134	1728	134	1170	15.5	67.7	0.68
297	chr1	3814079	3814316	CpG: 18	237	18	145	15.2	61.2	0.82
298	chr1	4092493	4093103	CpG: 41	610	41	359	13.4	58.9	0.78
299	chr1	4121247	4121532	CpG: 23	285	23	189	16.1	66.3	0.74
300	chr1	4613849	4616415	CpG: 232	2566	232	1504	18.1	58.6	1.05
301	chr1	4626436	4626727	CpG: 23	291	23	198	15.8	68	0.87
302	chr1	4671512	4672405	CpG: 67	893	67	588	15	65.8	0.69
303	chr1	4732211	4732413	CpG: 17	202	17	126	16.8	62.4	0.87
304	chr1	5694643	5695100	CpG: 43	457	43	322	18.8	70.5	0.8
305	chr1	5716144	5716371	CpG: 16	227	16	143	14.1	63	0.94
306	chr1	5859744	5859979	CpG: 22	235	22	159	18.7	67.7	0.83
307	chr1	5873411	5873616	CpG: 16	205	16	131	15.6	63.9	0.77
308	chr1	5974182	5975542	CpG: 162	1360	162	968	23.8	71.2	0.94
309	chr1	6008831	6009081	CpG: 20	250	20	167	16	66.8	0.72
310	chr1	6034196	6034423	CpG: 20	227	20	157	17.6	69.2	0.74
311	chr1	6054222	6054572	CpG: 34	350	34	246	19.4	70.3	0.79
312	chr1	6110330	6110822	CpG: 41	492	41	341	16.7	69.3	0.72
313	chr1	6111460	6111707	CpG: 22	247	22	159	17.8	64.4	0.86
314	chr1	6124705	6124946	CpG: 20	241	20	143	16.6	59.3	0.96
315	chr1	6131303	6131626	CpG: 28	323	28	203	17.3	62.8	0.93
316	chr1	6161824	6163401	CpG: 180	1577	180	1098	22.8	69.6	0.95
317	chr1	6163618	6163838	CpG: 17	220	17	129	15.5	58.6	0.9
318	chr1	6181765	6182470	CpG: 66	705	66	481	18.7	68.2	0.81
319	chr1	6188412	6189365	CpG: 96	953	96	687	20.1	72.1	0.78
320	chr1	6191417	6192175	CpG: 87	758	87	526	23	69.4	0.96
321	chr1	6218115	6218848	CpG: 74	733	74	428	20.2	58.4	1.19
322	chr1	6224282	6225443	CpG: 111	1161	111	760	19.1	65.5	0.9
323	chr1	6227735	6229050	CpG: 120	1315	120	913	18.3	69.4	0.77
324	chr1	6231750	6232679	CpG: 100	929	100	563	21.5	60.6	1.19
325	chr1	6236348	6236726	CpG: 35	378	35	256	18.5	67.7	0.81
326	chr1	6242724	6243529	CpG: 92	805	92	610	22.9	75.8	0.81
327	chr1	6262535	6262855	CpG: 22	320	22	213	13.8	66.6	0.62
328	chr1	6263723	6263999	CpG: 21	276	21	181	15.2	65.6	0.71
329	chr1	6375401	6376772	CpG: 144	1371	144	897	21	65.4	0.99
330	chr1	6401644	6403525	CpG: 180	1881	180	1251	19.1	66.5	0.87
331	chr1	6407090	6407914	CpG: 87	824	87	527	21.1	64	1.03
332	chr1	6422755	6423717	CpG: 87	962	87	584	18.1	60.7	0.98
333	chr1	6429794	6431773	CpG: 156	1979	156	1316	15.8	66.5	0.72
334	chr1	6434276	6434697	CpG: 32	421	32	286	15.2	67.9	0.66
335	chr1	6436695	6438912	CpG: 231	2217	231	1519	20.8	68.5	0.89
336	chr1	6443171	6444542	CpG: 109	1371	109	882	15.9	64.3	0.77
337	chr1	6448583	6448815	CpG: 24	232	24	167	20.7	72	0.82
338	chr1	6453123	6454401	CpG: 104	1278	104	737	16.3	57.7	0.98
339	chr1	6467730	6468146	CpG: 44	416	44	316	21.2	76	0.74
340	chr1	6472670	6473702	CpG: 84	1032	84	705	16.3	68.3	0.7
341	chr1	6480148	6480459	CpG: 34	311	34	233	21.9	74.9	0.78
342	chr1	6536723	6537422	CpG: 68	699	68	428	19.5	61.2	1.05
343	chr1	6562014	6562948	CpG: 80	934	80	624	17.1	66.8	0.77
344	chr1	6575984	6576261	CpG: 23	277	23	181	16.6	65.3	0.78
345	chr1	6581712	6582092	CpG: 27	380	27	246	14.2	64.7	0.68
346	chr1	6584363	6586431	CpG: 224	2068	224	1371	21.7	66.3	0.98
347	chr1	6595373	6598328	CpG: 273	2955	273	1811	18.5	61.3	1
348	chr1	6607658	6608278	CpG: 67	620	67	453	21.6	73.1	0.81
349	chr1	6683882	6684718	CpG: 96	836	96	602	23	72	0.89
350	chr1	6766900	6768953	CpG: 191	2053	191	1238	18.6	60.3	1.02
351	chr1	6944588	6944895	CpG: 23	307	23	200	15	65.1	0.71
352	chr1	7045106	7045314	CpG: 16	208	16	142	15.4	68.3	0.75
353	chr1	7645987	7647762	CpG: 111	1775	111	1147	12.5	64.6	0.61
354	chr1	7662730	7663704	CpG: 107	974	107	671	22	68.9	0.93
355	chr1	7687180	7688443	CpG: 157	1263	157	830	24.9	65.7	1.21
356	chr1	7753965	7754433	CpG: 61	468	61	345	26.1	73.7	0.96
357	chr1	7766047	7766280	CpG: 20	233	20	163	17.2	70	0.7
358	chr1	7766502	7767691	CpG: 110	1189	110	722	18.5	60.7	1
359	chr1	7809785	7810063	CpG: 25	278	25	193	18	69.4	0.79
